EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
574472,SAN JUAN CO.,SAN JUAN,05/20/2015,1550,Flash Flood, , ,0,0,0,0,XX,AST-4, ,95623,C,127,SJU,0,0,Emergency Manager,Heavy Rain, , ,2.54,WNW,2.43,WNW,SAN JUAN,05/20/2015,1654,18.3988,-66.0833,18.3979,-66.0837,"Home and street flooded on 38Street number 1200, Reparto Metropolitano.","A very weak low level wind flow and a broad upper level jet resulted in strong convection which remained nearly stationary for few hours. Showers moved through the northeastern portions of PR including the San Juan metro area. Some urban and small streams advisories were issued for this area.",1
576170,SAN JUAN CO.,SAN JUAN,05/20/2015,1550,Flash Flood, , ,0,0,0,0,XX,AST-4, ,95623,C,127,SJU,0,0,Emergency Manager,Heavy Rain, , ,0.24,WSW,0.18,WSW,SAN JUAN,05/20/2015,1654,18.3786,-66.0533,18.3779,-66.0535,"Street and home flooded in Urb. Sagrado Corazon, San Genaro street 381, 387, 389.","A very weak low level wind flow and a broad upper level jet resulted in strong convection which remained nearly stationary for few hours. Showers moved through the northeastern portions of PR including the San Juan metro area. Some urban and small streams advisories were issued for this area.",2
576021,SAN JUAN CO.,SAN JUAN,05/20/2015,1550,Flash Flood, , ,0,0,0,0,XX,AST-4, ,95623,C,127,SJU,0,0,Emergency Manager,Heavy Rain, , ,3,WNW,2.82,WNW,SAN JUAN,05/20/2015,1654,18.3993,-66.0911,18.3983,-66.0914,"Street and home flooding on 16th street, Villa Nevarez, number 355.","A very weak low level wind flow and a broad upper level jet resulted in strong convection which remained nearly stationary for few hours. Showers moved through the northeastern portions of PR including the San Juan metro area. Some urban and small streams advisories were issued for this area.",3
575333,SAN JUAN CO.,SAN JUAN,05/20/2015,1550,Flash Flood, , ,0,0,0,0,XX,AST-4, ,95623,C,127,SJU,0,0,Emergency Manager,Heavy Rain, , ,1.67,NW,1.74,NW,SAN JUAN,05/20/2015,1654,18.3955,-66.0696,18.3932,-66.0696,"Home flooded on 5th street, Villa Nevares, close to Villa Nevares park.","A very weak low level wind flow and a broad upper level jet resulted in strong convection which remained nearly stationary for few hours. Showers moved through the northeastern portions of PR including the San Juan metro area. Some urban and small streams advisories were issued for this area.",4
599784,SAN SEBASTIAN CO.,SAN SEBASTIAN,08/22/2015,1557,Flash Flood, , ,0,0,0,0,XX,AST-4, ,99950,C,131,SJU,0,0,Emergency Manager,Heavy Rain, , ,2.05,WNW,1.9,WNW,SAN SEBASTIAN,08/22/2015,2045,18.3314,-66.9989,18.3291,-67.0005,"Three residences were affected at Urbanizacion El Culebrinas by flooded waters in San Sebastian.","Available moisture combined with isolated thunderstorms over the western interior and northwest sections of Puerto Rico.",5
599783,SAN SEBASTIAN CO.,SAN SEBASTIAN,08/22/2015,1557,Flash Flood, , ,0,0,0,0,XX,AST-4, ,99950,C,131,SJU,0,0,Emergency Manager,Heavy Rain, , ,1.46,WNW,1.21,WNW,SAN SEBASTIAN,08/22/2015,2045,18.3314,-66.9888,18.3291,-66.989,"PR emergency management agency reported that road 119 in San Sebastian was flooded. Rio Culebrinas was out of its banks.","Available moisture combined with isolated thunderstorms over the western interior and northwest sections of Puerto Rico.",6
599782,SAN SEBASTIAN CO.,SAN SEBASTIAN,08/22/2015,1557,Flash Flood, , ,0,0,0,0,XX,AST-4, ,99950,C,131,SJU,0,0,Emergency Manager,Heavy Rain, , ,2.3,WNW,2.05,WNW,SAN SEBASTIAN,08/22/2015,2045,18.3372,-67.0001,18.3342,-66.996,"PR Emergency management agency reported that road 125 in San Sebasti��n was flooded. R��o Culebrinas was out of its banks.","Available moisture combined with isolated thunderstorms over the western interior and northwest sections of Puerto Rico.",7
602949,VEGA BAJA CO.,VEGA BAJA,09/21/2015,1745,Flash Flood, , ,0,0,0,0,XX,AST-4, ,100760,C,145,SJU,0,0,Emergency Manager,Heavy Rain, , ,8.73,S,8.37,S,VEGA BAJA,09/21/2015,1910,18.3251,-66.3598,18.3291,-66.3631,"Vega Alta PREMA officers reported closed roads 647 and 620, due to a surge of water along Rio Cibuco.","Vigorous showers and thunderstorms grew during the afternoon hours over western PR due to local effects.",8
603063,SAN SEBASTIAN CO.,SAN SEBASTIAN,09/22/2015,1430,Flash Flood, , ,0,0,0,0,XX,AST-4, ,100777,C,131,SJU,0,0,Emergency Manager,Heavy Rain, , ,2.38,WNW,2,NW,SAN SEBASTIAN,09/22/2015,1800,18.3376,-67.0011,18.3406,-66.9979,"Road 125 km. 17.9 flooded and impassable due to Rio Guatemala, a tributary of Rio Culebrinas, going out of its banks.","Scattered showers with isolated thunderstorms developed across the Cordillera Central resulting from a surface low across the Atlantic.",9
603064,MOCA CO.,MOCA,09/22/2015,1500,Flash Flood, , ,0,0,0,0,XX,AST-4, ,100777,C,99,SJU,0,0,Emergency Manager,Heavy Rain, , ,2.46,WNW,2.46,WNW,MOCA,09/22/2015,1800,18.3922,-67.1052,18.3918,-67.1037,"Several homes and business parking lots downtown Moca, along calle Barbosa, were flooded. Also, emergency managers reported several mudslides/debris flow in urban and rural areas.","Scattered showers with isolated thunderstorms developed across the Cordillera Central resulting from a surface low across the Atlantic.",10
