event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,KSI_fast,KSI_slow,KSI_combined,is_flood,flood_event_id
574472,05/20/2015,SAN JUAN CO.,18.3988,-66.0833,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,15,0.26,Urban land,Urban land,1,29.882968149999723,32.47344017604294,30.919156960417013,1,574472
576170,05/20/2015,SAN JUAN CO.,18.3786,-66.0533,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,27,2.58,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,29.882968149999723,32.47344017604294,30.919156960417013,1,576170
576021,05/20/2015,SAN JUAN CO.,18.3993,-66.0911,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,34,2.79,Urban land,Urban land,1,29.882968149999723,32.47344017604294,30.919156960417013,1,576021
575333,05/20/2015,SAN JUAN CO.,18.3955,-66.0696,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,13,0.93,Urban land,Urban land,1,29.882968149999723,32.47344017604294,30.919156960417013,1,575333
599784,08/22/2015,SAN SEBASTIAN CO.,18.3314,-66.9989,0,Heavy Rain,8.875,15.165,0.0,0.0,6.1,9.445,65.715,66,2.38,Urban land,Urban land,1,10.927359570283231,57.97736642213503,29.747362311023952,1,599784
599783,08/22/2015,SAN SEBASTIAN CO.,18.3314,-66.9888,0,Heavy Rain,8.875,15.165,0.0,0.0,6.1,9.445,65.715,65,1.39,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,10.927359570283231,57.97736642213503,29.747362311023952,1,599783
599782,08/22/2015,SAN SEBASTIAN CO.,18.3372,-67.0001,0,Heavy Rain,13.53,10.395,0.0,0.0,2.68,11.015,69.63,64,0.52,Lares,"Lares clay, 0 to 5 percent slopes, eroded",1,14.936810269244589,58.99602295938979,32.56049534530267,1,599782
602949,09/21/2015,VEGA BAJA CO.,18.3251,-66.3598,0,Heavy Rain,3.105,13.715,0.0,0.0,16.33,8.18,11.17,223,2.38,Corozal,"Corozal clay, 5 to 12 percent slopes",1,4.961123409590143,32.960772788847855,16.160983161293228,1,602949
603063,09/22/2015,SAN SEBASTIAN CO.,18.3376,-67.0011,0,Heavy Rain,32.63,6.24,0.205,6.78,5.595,9.74,15.195,56,1.88,Santoni,Santoni clay,1,33.478246873368654,56.98620679636152,42.881430842565806,1,603063
603064,09/22/2015,MOCA CO.,18.3922,-67.1052,0,Heavy Rain,2.9,10.5,4.49,33.56,2.775,11.285,16.575,54,1.65,Plata,"Plata clay, 20 to 40 percent slopes, eroded",1,4.403257692594849,51.364196097794355,23.187633054674652,1,603064
603067,09/23/2015,SAN SEBASTIAN CO.,18.3703,-66.9252,0,Heavy Rain,9.73,77.395,2.825,2.08,3.19,8.78,22.6,221,2.08,Mabi,"Mabi clay, 5 to 12 percent slopes",1,20.256015925958312,95.99038453618148,50.54976337004758,1,603067
605551,10/24/2015,CAGUAS CO.,18.2553,-66.0378,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,60,0.26,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,23.928993196890985,61.138621645240534,38.81284457623081,1,605551
605680,10/24/2015,SAN LORENZO CO.,18.1872,-65.9635,0,Heavy Rain,23.045,10.565,0.0,0.0,0.0,0.65,0.0,105,3.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,24.474817267394815,32.52176708957269,27.69359719626597,1,605680
605549,10/24/2015,CAGUAS CO.,18.2392,-66.0452,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,69,0.36,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1,23.928993196890985,61.138621645240534,38.81284457623081,1,605549
605554,10/24/2015,CAGUAS CO.,18.2514,-66.0381,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,62,0.36,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,23.928993196890985,61.138621645240534,38.81284457623081,1,605554
605553,10/24/2015,CAGUAS CO.,18.2374,-66.0562,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,81,1.29,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1,23.928993196890985,61.138621645240534,38.81284457623081,1,605553
605552,10/24/2015,CAGUAS CO.,18.2805,-66.046,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,66,2.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,23.928993196890985,61.138621645240534,38.81284457623081,1,605552
605550,10/24/2015,CAGUAS CO.,18.3296,-66.0936,0,Heavy Rain,65.745,17.525,0.655,0.0,0.0,2.5,0.0,94,3.81,Sabana,"Sabana silty clay loam, 40 to 60 percent slopes",1,68.12874758219377,82.65310696897865,73.93849133690772,1,605550
605716,10/24/2015,AIBONITO CO.,18.12,-66.25,0,Heavy Rain,21.955,27.36,1.405,0.0,0.0,3.205,11.51,685,11.47,Maricao,"Maricao clay, 20 to 60 percent slopes",1,25.683506821992392,53.182117406557474,36.68295105581843,1,605716
605718,10/24/2015,AIBONITO CO.,18.1413,-66.2547,0,Heavy Rain,21.955,27.36,1.405,0.0,0.0,3.205,11.51,609,1.39,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,25.683506821992392,53.182117406557474,36.68295105581843,1,605718
605719,10/24/2015,COMERIO CO.,18.2363,-66.2137,0,Heavy Rain,29.985,17.845,1.425,0.0,0.685,4.45,1.475,187,7.21,Water,Water,1,32.4261579147738,49.716533509651526,39.3423081527249,1,605719
605721,10/25/2015,SAN LORENZO CO.,18.15,-65.97,0,Heavy Rain,44.75,23.045,10.565,0.0,0.0,0.0,0.65,221,6.85,Pandura,"Pandura sandy loam, 20 to 40 percent slopes",1,48.06230632704722,72.94240115077335,58.01434425653767,1,605721
605723,10/25/2015,LAS PIEDRAS CO.,18.1888,-65.8773,0,Heavy Rain,36.925,18.845,5.38,0.0,0.0,0.0,0.18,123,2.94,Cayagua,"Cayagua sandy loam, 5 to 12 percent slopes, eroded",1,39.57393154981536,57.38064896975906,46.69661851779284,1,605723
605725,10/25/2015,JUNCOS CO.,18.2262,-65.916,0,Heavy Rain,36.115,19.51,71.2,0.0,0.0,0.0,3.83,69,0.26,Urban land,Urban land,1,40.05946486482419,108.15831909002912,67.29900655490617,1,605725
605731,10/25/2015,CAGUAS CO.,18.2,-66.03,0,Heavy Rain,56.6,17.235,49.375,0.645,0.0,0.0,1.26,161,17.05,Caguabo,"Caguabo clay loam, 40 to 60 percent slopes",1,59.83683827671427,109.59971992544712,79.7419909362074,1,605731
609484,11/28/2015,NAGUABO CO.,18.2202,-65.7927,0,Heavy Rain,16.28,0.0,7.4,6.865,1.105,1.655,0.48,29,9.17,Pandura,"Pandura loam, 12 to 40 percent slopes",0,16.415535727776636,27.950965036018083,21.029707451073214,1,609484
