event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,flood_event_id,KSI_fast,KSI_slow,KSI_combined
ctrl_0000,03/11/2022,SAN JUAN CO.,18.3988,-66.0833,0,None,0.0,0.0,0.385,0.0,0.525,1.865,0.43,15,0.26,Urban land,Urban land,1,574472,0.007051520972162659,1.6812712906028648,0.6767394288244435
ctrl_0001,04/08/2016,SAN JUAN CO.,18.3786,-66.0533,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.225,27,2.58,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,576170,0.0,0.09548389027731376,0.03819355611092551
ctrl_0002,04/20/2015,SAN JUAN CO.,18.3993,-66.0911,0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2.79,Urban land,Urban land,1,576021,0.0,0.0,0.0
ctrl_0003,05/03/2023,SAN JUAN CO.,18.3955,-66.0696,0,None,0.0,0.0,0.0,0.0,0.0,19.345,0.45,13,0.93,Urban land,Urban land,1,575333,0.0,9.661151184683884,3.864460473873554
ctrl_0004,02/07/2018,SAN SEBASTIAN CO.,18.3314,-66.9989,0,None,1.7,0.0,0.79,0.84,0.0,0.0,0.0,66,2.38,Urban land,Urban land,1,599784,1.7144693547221,2.8408758698555623,2.165031960775485
ctrl_0005,10/07/2017,SAN SEBASTIAN CO.,18.3314,-66.9888,0,None,33.62,24.69,19.6,1.55,11.185,6.58,17.555,65,1.39,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1,599783,37.32041466533116,87.74932244868114,57.491977778671156
ctrl_0006,07/10/2017,SAN SEBASTIAN CO.,18.3372,-67.0001,0,None,0.035,12.35,9.085,15.47,0.145,5.4,8.51,64,0.52,Lares,"Lares clay, 0 to 5 percent slopes, eroded",1,599782,1.8727883272763168,33.982697495518664,14.716751994573258
ctrl_0007,08/01/2016,VEGA BAJA CO.,18.3251,-66.3598,0,None,22.565,64.19,0.115,0.595,0.27,0.0,9.685,223,2.38,Corozal,"Corozal clay, 5 to 12 percent slopes",1,602949,31.25427812943037,82.94644341622214,51.93114424414708
ctrl_0008,04/12/2023,SAN SEBASTIAN CO.,18.3376,-67.0011,0,None,0.0,0.0,0.0,0.0,26.67,43.465,36.8,56,1.88,Santoni,Santoni clay,1,603063,0.0,51.95588126750167,20.782352507000667
ctrl_0009,03/02/2016,MOCA CO.,18.3922,-67.1052,0,None,0.0,1.575,3.05,1.08,2.32,1.5,2.145,54,1.65,Plata,"Plata clay, 20 to 40 percent slopes, eroded",1,603064,0.2690157697083042,7.315630904490187,3.087661823621058
ctrl_0010,08/10/2022,SAN SEBASTIAN CO.,18.3703,-66.9252,0,None,4.785,0.0,0.0,24.045,0.0,0.0,6.475,221,2.08,Mabi,"Mabi clay, 5 to 12 percent slopes",1,603067,4.785,23.196666314092482,12.149666525636993
ctrl_0011,04/29/2023,CAGUAS CO.,18.2553,-66.0378,0,None,0.47,11.64,0.0,0.0,0.0,0.89,19.185,60,0.26,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,605551,2.045302696874172,19.13774387441009,8.882279167888539
ctrl_0012,02/18/2021,SAN LORENZO CO.,18.1872,-65.9635,0,None,0.0,1.16,0.0,0.0,0.0,0.0,0.14,105,3.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,605680,0.15698892855447072,1.0649905621049836,0.5201895819746759
ctrl_0013,12/30/2015,CAGUAS CO.,18.2392,-66.0452,0,None,0.53,0.0,0.33,0.0,0.185,0.235,0.395,69,0.36,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1,605549,0.5360441608332823,1.1651299233245591,0.7876784658297931
ctrl_0014,08/22/2021,CAGUAS CO.,18.2514,-66.0381,0,None,0.0,0.0,0.0,0.0,0.0,0.0,21.42,62,0.36,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,605554,0.0,9.09006635440027,3.636026541760108
ctrl_0015,10/02/2019,CAGUAS CO.,18.2374,-66.0562,0,None,17.035,0.0,0.0,16.415,1.95,0.0,3.485,81,1.29,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1,605553,17.035,30.308511834471577,22.344404733788632
ctrl_0016,05/18/2015,CAGUAS CO.,18.2805,-66.046,0,None,0.005,0.85,0.0,0.32,0.0,0.0,1.37,66,2.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1,605552,0.1200349907511208,1.5316975117750138,0.684699999160678
ctrl_0017,05/10/2015,CAGUAS CO.,18.3296,-66.0936,0,None,0.27,0.0,0.0,0.0,0.0,0.0,0.0,94,3.81,Sabana,"Sabana silty clay loam, 40 to 60 percent slopes",1,605550,0.27,0.27,0.27
