event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst
574472,05/20/2015,SAN JUAN CO.,18.3988,-66.0833,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,15,0.26,Urban land,Urban land,1
576170,05/20/2015,SAN JUAN CO.,18.3786,-66.0533,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,27,2.58,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1
576021,05/20/2015,SAN JUAN CO.,18.3993,-66.0911,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,34,2.79,Urban land,Urban land,1
575333,05/20/2015,SAN JUAN CO.,18.3955,-66.0696,0,Heavy Rain,29.85,0.0,1.8,1.695,0.295,0.0,0.0,13,0.93,Urban land,Urban land,1
599784,08/22/2015,SAN SEBASTIAN CO.,18.3314,-66.9989,0,Heavy Rain,8.875,15.165,0.0,0.0,6.1,9.445,65.715,66,2.38,Urban land,Urban land,1
599783,08/22/2015,SAN SEBASTIAN CO.,18.3314,-66.9888,0,Heavy Rain,8.875,15.165,0.0,0.0,6.1,9.445,65.715,65,1.39,Toa,"Toa silty clay loam, 0 to 2 percent slopes, occasionally flooded",1
599782,08/22/2015,SAN SEBASTIAN CO.,18.3372,-67.0001,0,Heavy Rain,13.53,10.395,0.0,0.0,2.68,11.015,69.63,64,0.52,Lares,"Lares clay, 0 to 5 percent slopes, eroded",1
602949,09/21/2015,VEGA BAJA CO.,18.3251,-66.3598,0,Heavy Rain,3.105,13.715,0.0,0.0,16.33,8.18,11.17,223,2.38,Corozal,"Corozal clay, 5 to 12 percent slopes",1
603063,09/22/2015,SAN SEBASTIAN CO.,18.3376,-67.0011,0,Heavy Rain,32.63,6.24,0.205,6.78,5.595,9.74,15.195,56,1.88,Santoni,Santoni clay,1
603064,09/22/2015,MOCA CO.,18.3922,-67.1052,0,Heavy Rain,2.9,10.5,4.49,33.56,2.775,11.285,16.575,54,1.65,Plata,"Plata clay, 20 to 40 percent slopes, eroded",1
603067,09/23/2015,SAN SEBASTIAN CO.,18.3703,-66.9252,0,Heavy Rain,9.73,77.395,2.825,2.08,3.19,8.78,22.6,221,2.08,Mabi,"Mabi clay, 5 to 12 percent slopes",1
605551,10/24/2015,CAGUAS CO.,18.2553,-66.0378,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,60,0.26,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1
605680,10/24/2015,SAN LORENZO CO.,18.1872,-65.9635,0,Heavy Rain,23.045,10.565,0.0,0.0,0.0,0.65,0.0,105,3.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1
605549,10/24/2015,CAGUAS CO.,18.2392,-66.0452,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,69,0.36,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1
605554,10/24/2015,CAGUAS CO.,18.2514,-66.0381,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,62,0.36,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1
605553,10/24/2015,CAGUAS CO.,18.2374,-66.0562,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,81,1.29,Rio Arriba,"Rio Arriba clay, 2 to 5 percent slopes",1
605552,10/24/2015,CAGUAS CO.,18.2805,-66.046,0,Heavy Rain,17.235,49.375,0.645,0.0,0.0,1.26,0.0,66,2.58,Urban land,"Urban land-Mucara complex, 12 to 40 percent slopes",1
605550,10/24/2015,CAGUAS CO.,18.3296,-66.0936,0,Heavy Rain,65.745,17.525,0.655,0.0,0.0,2.5,0.0,94,3.81,Sabana,"Sabana silty clay loam, 40 to 60 percent slopes",1
605716,10/24/2015,AIBONITO CO.,18.12,-66.25,0,Heavy Rain,21.955,27.36,1.405,0.0,0.0,3.205,11.51,685,11.47,Maricao,"Maricao clay, 20 to 60 percent slopes",1
